,title,area,numberOfRooms,price,town,district
137,ÜÇEL KÜÇÜKYALI SAHİL MARMARAY YAKIN BALKONLU GENİŞ M2'Lİ 2+1!!,120,2+1,1.750.000,Maltepe,Küçükyalı
138,İCADİYEDE YERİ KONUMU MÜKENMEL 3.KAT 2+1 ÇİFT CEPELİ TEMİZ DAİRE,100,2+1,2.000.000,Üsküdar,Bağlarbaşı
139,SİNPAŞ QUEEN BOMONTİ 34.KAT HALİÇ CEPHE SATILIK 1+1,82,1+1,6.200.000,Şişli,Cumhuriyet
140,NEVA DAN ETHEMEFENDİDE SIFIR 3.KAT 110M2NET BALKONLU HAVUZLU,145,3+1,6.845.000,Kadıköy,Erenköy
141,MABEYN'DEN CUMHURİYET MAHALLESİNDE SİTE İÇİ 2+1 SIFIR LÜKS DAİRE,120,2+1,799.999,Beylikdüzü,Kavaklı
142,Sıfır Proje'de 0.89 Oranla Özel Tasarlanmış Geniş Kullanımlı 3+1,155,3+1,1.899.000,Beylikdüzü,Gürpınar
143,BÜYÜKÇEKMECE DENİZ VE ŞEHİR MANZARALI FIRSATLI 1+1 LÜKS DAİRE,73,1+1,3.300.000,,
144,AKVA YAPI'DAN BU HAFTAYA ÖZEL METROYA YAKIN 2+1 135m² BAHÇELİ,135,2+1,399.900,Beylikdüzü,Kavaklı
145,BEYLİKDÜZÜ AKVA İNŞAAT'DAN METROYA YAKIN 4+1 DUBLEKS 180m² DAİRE,180,4+1,539.900,Beylikdüzü,Kavaklı
146,BEYLİKDÜZÜ SONSUZ'DAN YENİ METRO PROJESİNE YAKIN ARAKAT DAİRE!!!,120,2+1,659.999,Beylikdüzü,Kavaklı
147,Ataşehir Ferhatpaşa da Satılık 3+1 çatı katı,116,3+1,750.000,Ataşehir,Ferhatpaşa
148,ARES DEN ÇİFT BALKONLU DENİZ MANZARALI ARA KAT 2+1 LÜX DAİRE !,115,2+1,1.149.000,Beylikdüzü,Gürpınar
149,ONE ORTAKÖY SİTESİNDE FİYAT AVANTAJLI 15 GÜN GEÇERLİ KAÇIRMAYIN,450,5+1,11.500.000,Beşiktaş,Gayrettepe
150,BÜYÜKÇEKMECE E5 E YAKIN KİRA GETİRİSİ YÜKSEK GENİŞ 1+1 DAİRE,74,1+1,2.700.000,,
151,BEYLİKDÜZÜ AKVA'DAN METROYA 5 DK GENİŞ 3 KAT 125 m² SIFIR DAİRE,125,2+1,599.900,Beylikdüzü,Kavaklı
152,BİRİKİM'den Altıntepe'de 10 Yıllık Yeşillikler İçinde 2.Kat 2+1,110,2+1,2.100.000,Maltepe,Küçükyalı
153,AKVA YAPI'DAN METROYA YAKIN MUHTEŞEM 3+1 TERASLI DUBLEKS DAİRE,180,3+1,719.900,Beylikdüzü,Kavaklı
154,ARES DEN MERKEZİ KONUM METROBÜSE YAKIN 2+1 ULTRA LÜX DAİRE!,120,2+1,1.369.000,Beylikdüzü,Yakuplu
155,SETYAP TAN CEBECİ MAH MERKEZİ KONUMDA YÜKSEK GİRİS DAİRE 2+1 95,100,2+1,750.000,Sultangazi,Cebeci
156,MABEYN'DEN SİTE İÇİ %50 PEŞİN %50 ELDEN TAKSİTLE FAİZSİZ DAİRE!!,54,Stüdyo,(1+0),Beylikdüzü,Kavaklı
157,BEYLİKDÜZÜ SONSUZ'DAN SİTE İÇERİSİNDE 125M2 2+1 ARAKAT DAİRE!!!,125,2+1,669.999,Beylikdüzü,Kavaklı
158,BEYLİKDÜZÜ MABEYN'DEN GÜVENLİKLİ SİTE İÇİ 2+1 ULTRA LÜKS DAİRE !,115,2+1,879.999,Beylikdüzü,Kavaklı
159,SAHİBİNDEN DENİZ MNZRLI 3+1,150,3+1,2.150.000,Beylikdüzü,Gürpınar
160,AVRUPA KONUTLARI TEM DE SATILIK DAİRE 2+1 KAPALI MUTFAK Ç. ODALI,114,2+1,4.100.000,Gaziosmanpaşa,Fevziçakmak
161,AKVA YAPI'DAN METROYA YAKIN ÇİFT TERASLI 3+2 DUBLEKS SIFIR DAİRE,200,3+2,999.900,Beylikdüzü,Kavaklı
162,MABEYN'DEN METROYA 2 DK MESAFEDE ULTRA LÜKS SIFIR 2+1 DAİRE !!!,120,2+1,679.999,Beylikdüzü,Kavaklı
163,MABEYN YAPI'DAN GENİŞ TERASLI 3+1 SIFIR DUBLEKS DAİRE !!,150,3+1,799.999,Beylikdüzü,Kavaklı
164,MABEYN'DEN MERKEZİ KONUMDA ACİL SATILIK SIFIR 2+1 LÜKS DAİRE !!!,120,2+1,549.999,Beylikdüzü,Kavaklı
165,ARES DEN KAPALI OTOPARKLI ARA KAT LÜX 2+1 DAİRE ! НЕДВИЖИМОСТЬ,115,2+1,1.389.000,Beylikdüzü,Gürpınar
166,BEYLİKDÜZÜ'DE YAŞAM VADİSİNİN DİBİNDE SAHİLE YÜRÜME MESAFESİ 3+2,220,3+2,1.800.000,Beylikdüzü,Kavaklı
167,BEYLİKDÜZÜ SONSUZ GYO'DAN PİYASANIN EN UYGUN 3+2 DUBLEX,190,3+2,2.199.999,,
